sample_id,Indole2,Indole3,Indole1,DMSO1,DMSO2,DMSO3,TCDD1,TCDD2,TCDD3
0610005C13Rik,236,280,284,172,333,175,335,224,243
0610007P14Rik,2609,2830,3399,2576,3456,2772,2943,3629,3296
0610009B22Rik,333,415,393,308,152,354,141,419,400
0610009E02Rik,4,7,5,6,8,6,3,10,14
0610009L18Rik,11,12,15,86,8,40,16,20,20
0610009O20Rik,637,783,775,858,954,822,1002,922,789
0610010F05Rik,364,408,389,493,264,380,288,418,457
0610010K14Rik,24,22,27,22,13,15,10,22,15
0610011F06Rik,618,724,848,677,787,712,625,871,704
0610012D04Rik,0,0,0,4,0,0,0,0,1
0610012G03Rik,228,306,346,255,305,327,256,408,302
0610025J13Rik,0,1,0,0,0,0,0,0,0
0610030E20Rik,900,837,962,1059,743,853,870,978,958
0610031J06Rik,1596,1892,1984,2446,2187,2004,1624,1867,1809
0610031O16Rik,3,7,3,16,1,14,5,4,7
0610037L13Rik,507,547,575,598,662,602,619,746,597
0610038B21Rik,0,0,0,1,0,0,2,0,0
0610039K10Rik,1,3,0,0,2,0,0,1,2
0610040B10Rik,18,19,14,19,18,13,18,27,13
0610040F04Rik,11,5,11,9,4,7,6,14,10
0610040J01Rik,1500,1915,2024,1666,2665,1687,2421,1815,1736
0610043K17Rik,1,2,0,2,0,3,2,0,0
1010001B22Rik,1,0,0,5,4,0,3,0,1
1010001N08Rik,40,32,40,46,40,41,32,46,32
1100001G20Rik,0,0,0,0,0,0,0,0,0
1110001J03Rik,182,196,248,225,109,266,95,270,234
1110002E22Rik,2,1,1,25,0,2,0,1,0
1110002J07Rik,1,6,7,32,7,14,11,6,12
1110002L01Rik,41,50,50,42,19,29,30,44,27
1110004E09Rik,283,382,414,341,426,360,359,431,399
1110004F10Rik,783,899,1000,877,694,859,732,1042,1049
1110007C09Rik,692,851,936,834,1621,992,1588,1065,858
1110008E08Rik,0,0,0,0,0,0,0,0,0
1110008F13Rik,468,601,673,408,565,459,532,622,565
1110008L16Rik,270,329,331,269,335,249,321,359,342
1110008P14Rik,142,189,201,250,199,262,147,226,170
1110012L19Rik,164,209,200,180,236,173,163,216,214
1110015O18Rik,0,0,0,0,0,0,0,0,0
1110017D15Rik,0,1,0,1,0,0,0,0,0
1110018N20Rik,0,0,0,1,2,1,0,1,0
1110019D14Rik,54,72,54,55,71,69,77,64,85
1110020A21Rik,23,22,25,36,44,38,24,25,34
1110025L11Rik,0,0,0,0,0,0,0,0,0
1110028F11Rik,9,9,15,20,16,20,13,16,18
1110028F18Rik,2,6,6,20,11,6,3,4,2
1110032A03Rik,246,308,302,249,420,259,356,296,282
1110032F04Rik,2,1,1,3,2,0,1,4,1
1110034G24Rik,62,78,98,85,58,79,47,97,88
1110035H17Rik,14,8,12,36,20,20,27,16,5
1110036E04Rik,0,0,0,3,2,0,2,0,1
1110037F02Rik,1152,1243,1287,1406,1033,1190,1058,1371,1494
1110038B12Rik,988,1097,1172,1210,975,1124,1020,1326,1186
1110038F14Rik,252,326,321,275,343,323,346,362,276
1110046J04Rik,10,19,16,13,5,5,1,13,11
1110051M20Rik,55,46,38,82,78,43,70,50,51
1110054M08Rik,110,101,126,155,180,134,114,150,116
1110057K04Rik,1028,1206,1407,1120,869,1127,815,1271,1228
1110057P08Rik,0,0,0,0,0,0,0,0,0
1110058L19Rik,207,214,265,226,90,196,63,231,230
1110059E24Rik,754,900,966,727,551,719,525,829,850
1110059G10Rik,253,329,349,302,255,294,201,326,304
1110065P20Rik,27,34,49,42,36,36,34,49,45
1190002F15Rik,30,52,31,37,47,30,25,45,49
1190002N15Rik,731,843,809,808,578,778,467,838,870
1190003K10Rik,0,0,0,0,0,0,0,0,0
1190005I06Rik,0,2,3,2,0,3,0,0,2
1190007I07Rik,116,126,171,98,174,109,170,159,117
1200007C13Rik,0,0,0,0,0,0,0,0,0
1200014J11Rik,722,852,855,870,794,808,876,963,956
1300002E11Rik,353,321,339,533,332,356,292,380,393
1300002K09Rik,404,368,435,315,294,304,331,462,332
1300017J02Rik,1,0,2,2,0,0,1,2,1
1500002C15Rik,9,9,14,19,10,10,6,14,5
1500004A13Rik,37,30,34,44,37,46,40,47,44
1500009C09Rik,1,0,0,1,2,2,6,0,1
1500009L16Rik,77,101,120,80,94,104,47,88,89
1500011B03Rik,68,69,91,90,100,111,78,94,77
1500011K16Rik,202,236,277,181,250,212,202,344,208
1500012F01Rik,762,761,882,948,758,840,505,1101,976
1500012K07Rik,0,0,0,0,0,0,0,0,0
1500015A07Rik,76,81,96,274,64,97,62,122,82
1500015L24Rik,1,0,1,9,2,2,3,1,1
1500015O10Rik,0,0,2,0,1,0,0,1,1
1500017E21Rik,1,0,1,0,0,0,0,0,0
1500026H17Rik,8,9,12,10,13,10,7,11,25
1500035N22Rik,4,8,5,10,17,7,26,10,10
1520401A03Rik,5,3,1,6,4,2,2,0,1
1600002D24Rik,1,1,1,3,0,3,2,3,0
1600002H07Rik,78,106,91,121,124,91,84,120,99
1600002K03Rik,78,124,116,157,117,118,94,121,122
1600010F14Rik,0,0,0,0,0,0,0,0,0
1600012H06Rik,1019,1161,1242,1170,799,1025,719,1124,1218
1600012P17Rik,3,1,0,1,0,0,0,1,1
1600014C10Rik,186,231,213,138,176,162,161,195,215
1600014C23Rik,5,5,11,9,12,11,4,9,10
1600014K23Rik,0,0,0,0,0,0,0,0,0
1600015I10Rik,0,0,0,5,0,0,0,0,0
1600016N20Rik,255,230,267,365,306,330,266,338,245
1600020E01Rik,125,126,169,103,75,89,72,135,132
1600025M17Rik,0,0,0,0,0,0,0,0,0
1600029I14Rik,2,2,0,0,1,0,0,1,2
1600029O15Rik,0,0,0,1,0,2,0,0,0
1700001C02Rik,0,0,0,0,0,0,0,0,0
1700001C19Rik,1,0,3,6,1,4,2,3,2
1700001F09Rik,0,0,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0,0,0,0
1700001G11Rik,1,0,0,0,1,1,1,1,0
1700001J03Rik,0,1,1,1,1,2,1,0,0
1700001J04Rik,0,0,0,0,0,0,0,0,0
1700001K19Rik,0,3,2,3,0,4,1,8,4
1700001L05Rik,217,213,223,370,149,320,184,280,229
1700001L19Rik,2,0,0,3,6,2,2,5,2
1700001O22Rik,76,78,97,90,137,109,126,104,99
1700001P01Rik,3,3,2,1,3,0,1,0,2
1700003D09Rik,34,51,42,58,15,33,25,47,42
1700003E16Rik,54,69,82,71,49,60,60,87,66
1700003E24Rik,0,0,0,0,0,0,0,0,0
1700003F12Rik,1,0,0,0,0,0,0,0,0
1700003G13Rik,0,0,0,0,0,0,0,0,0
1700003G18Rik,0,0,0,1,0,0,0,1,1
1700003H04Rik,0,0,0,0,0,0,0,0,0
1700003M02Rik,2,2,6,3,1,3,0,1,4
1700003M07Rik,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0
1700006E09Rik,0,2,0,0,0,2,1,0,0
1700006J14Rik,11,15,22,13,11,14,4,17,17
1700007B14Rik,0,0,0,0,0,0,0,0,0
1700007G11Rik,2,5,5,1,10,5,1,3,6
1700007J10Rik,2,2,1,5,1,1,1,1,1
1700007K09Rik,0,0,0,1,0,0,0,0,0
1700007K13Rik,4,7,6,10,5,5,8,7,3
1700007L15Rik,30,16,22,31,11,26,16,34,36
1700007M16Rik,0,0,0,0,0,0,0,0,0
1700007P06Rik,0,0,0,0,0,0,0,0,0
1700008F21Rik,0,0,0,0,0,0,0,0,0
1700008I05Rik,0,1,0,1,0,0,1,2,0
1700008O03Rik,1,1,0,3,0,4,2,2,0
1700008P02Rik,0,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0,0
1700009N14Rik,0,0,0,10,0,0,0,1,1
1700009P17Rik,21,27,28,58,40,36,41,26,24
1700010B08Rik,0,0,0,0,0,0,0,0,1
1700010D01Rik,0,0,0,0,0,0,0,0,0
1700010H22Rik,0,0,0,0,0,0,0,0,0
1700010I14Rik,58,76,70,81,78,51,64,63,80
1700010K23Rik,0,0,0,0,0,0,0,0,0
1700010K24Rik,0,0,0,0,1,1,1,2,0
1700010L04Rik,0,1,0,0,0,0,1,0,0
1700011A15Rik,0,0,0,8,0,1,0,0,0
1700011E24Rik,0,0,0,0,0,0,0,0,2
1700011H14Rik,32,38,58,9,53,23,32,33,35
1700011I03Rik,3,0,1,2,3,2,1,2,0
1700011L22Rik,1,0,0,2,0,0,0,0,0
1700011M02Rik,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,0,0,0
1700012B09Rik,0,1,1,0,2,2,1,1,1
1700012C08Rik,0,0,0,0,0,0,0,0,0
1700012C14Rik,0,0,0,0,0,0,0,0,0
1700012L04Rik,0,0,1,0,0,0,0,0,1
1700012P22Rik,0,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0,0
1700013F07Rik,0,0,0,0,3,0,0,0,0
1700013G24Rik,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0,0
1700013N06Rik,0,0,0,0,0,0,0,0,0
1700014D04Rik,0,1,0,3,0,0,2,2,0
1700015E13Rik,2,0,1,1,0,1,4,2,1
1700015F17Rik,0,1,0,0,0,0,0,0,0
1700015G11Rik,0,0,0,0,0,0,0,0,0
1700015O11Rik,1,1,3,3,3,1,0,2,0
1700016C15Rik,101,130,131,402,190,304,138,201,135
1700016D06Rik,0,0,0,0,0,0,0,0,0
1700016G14Rik,1,0,1,1,0,1,2,1,1
1700016H13Rik,9,5,5,31,6,10,4,8,6
1700016K19Rik,23,26,42,36,74,39,37,49,39
1700016P03Rik,0,0,1,2,1,0,0,1,1
1700017B05Rik,791,996,956,1667,1148,1165,1426,1161,1002
1700017D01Rik,0,0,0,0,0,0,0,0,0
1700017G19Rik,0,0,0,4,0,1,1,1,0
1700017I07Rik,0,0,0,0,0,0,0,0,0
1700017J07Rik,0,0,0,0,0,0,0,0,0
1700017N19Rik,0,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,4,0,4,2,2,3
1700018B08Rik,0,0,0,0,0,0,0,0,0
1700018B24Rik,0,0,0,0,0,0,0,0,0
1700018C11Rik,0,0,0,1,1,0,1,0,0
1700018F24Rik,0,0,0,0,0,0,0,0,0
1700018M17Rik,0,0,0,0,0,0,0,1,0
1700019A02Rik,0,1,1,1,0,0,0,0,0
1700019B03Rik,0,0,0,0,0,0,1,0,1
1700019B21Rik,0,0,0,1,0,1,0,0,0
1700019D03Rik,153,167,182,144,92,182,100,188,203
1700019E08Rik,0,0,0,0,0,0,0,0,0
1700019G17Rik,415,382,453,341,246,357,213,366,431
1700019G24Rik,0,0,0,0,0,1,0,0,0
1700019L03Rik,119,122,157,151,251,143,171,146,156
1700019M22Rik,0,0,0,0,0,0,0,0,0
1700019N19Rik,0,0,1,0,0,0,0,0,0
1700019O17Rik,0,0,0,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0,0,0,0
1700020D05Rik,1,0,0,2,0,1,0,0,0
1700020I14Rik,3729,3910,4292,4521,2644,3914,2794,4072,4348
1700020L24Rik,15,17,27,18,24,25,22,32,19
1700020N01Rik,2,0,2,3,1,3,1,1,5
1700020N15Rik,0,0,0,0,0,0,0,0,0
1700021A07Rik,0,0,0,0,0,0,0,0,0
1700021F05Rik,473,538,666,523,919,479,732,613,603
1700021F07Rik,0,0,0,0,0,0,0,0,0
1700021J08Rik,10,9,9,8,7,4,3,11,3
1700021K19Rik,599,683,685,769,661,656,761,818,759
1700021L23Rik,0,0,0,0,0,0,0,0,0
1700021N21Rik,0,0,1,0,0,0,0,0,0
1700021P04Rik,0,0,0,0,0,0,1,0,0
1700022A21Rik,0,0,0,0,0,0,0,0,0
1700022I11Rik,0,0,1,0,0,0,0,0,0
1700022N22Rik,2,2,4,10,0,4,5,3,5
1700023C21Rik,0,0,0,0,0,0,0,0,0
1700023E05Rik,1,1,0,3,1,4,5,1,2
1700023F06Rik,1,1,3,0,0,2,2,0,1
1700023H06Rik,4,2,9,5,1,1,1,6,0
1700023L04Rik,1,0,2,6,1,6,4,2,2
1700024B05Rik,0,0,0,0,0,0,0,0,0
1700024G13Rik,0,0,0,0,0,0,0,0,0
1700024J04Rik,0,0,0,0,0,0,0,0,0
1700024P04Rik,1,0,0,0,0,0,0,0,0
1700024P16Rik,65,67,69,65,56,71,59,59,76
1700025C18Rik,0,0,0,0,0,0,0,0,0
1700025D23Rik,0,0,0,0,0,0,0,0,0
1700025F22Rik,0,0,0,0,0,0,0,0,0
1700025G04Rik,840,888,992,829,872,867,673,937,972
1700025N21Rik,0,0,2,0,0,1,0,0,0
1700025O08Rik,0,0,0,0,0,0,0,0,0
1700026D08Rik,0,1,0,2,0,1,0,0,0
1700026D11Rik,0,0,0,3,0,0,0,0,0
1700026J12Rik,0,0,0,0,0,0,0,0,0
1700026J14Rik,0,0,0,1,0,0,0,0,1
1700026L06Rik,0,1,0,1,0,0,0,0,1
1700027A07Rik,0,0,0,0,0,0,0,0,1
1700027I24Rik,0,0,0,0,0,0,0,0,0
1700028E10Rik,3,1,1,1,5,4,1,3,2
1700028I16Rik,0,1,0,3,0,1,0,0,0
1700028J19Rik,13,18,18,19,10,17,15,18,14
1700028K03Rik,13,12,5,11,3,8,5,9,23
1700028N14Rik,0,0,0,0,0,0,0,0,0
1700028P14Rik,0,0,0,0,0,0,0,0,0
1700028P15Rik,0,0,0,0,0,0,0,0,0
1700029F12Rik,0,0,0,0,0,0,0,0,0
1700029H14Rik,0,0,0,0,0,0,0,0,0
1700029I15Rik,12,12,8,18,16,9,16,14,15
1700029J07Rik,30,23,28,34,22,29,23,36,22
1700029M20Rik,0,0,0,0,0,0,0,0,0
1700029N11Rik,0,0,0,0,0,0,0,0,0
1700029P11Rik,0,0,0,0,0,0,0,0,0
1700030A11Rik,1,2,4,8,1,1,3,0,2
1700030C10Rik,2,8,5,6,2,7,1,2,6
1700030C12Rik,0,0,0,0,0,0,0,0,0
1700030C14Rik,0,0,0,0,0,0,0,0,1
1700030J22Rik,18,15,22,37,20,30,29,24,20
1700030K09Rik,78,91,110,111,110,100,102,95,94
1700030M09Rik,0,0,0,1,0,1,0,1,0
1700031A10Rik,0,0,0,0,0,0,1,0,0
1700031F05Rik,0,0,0,0,0,0,0,0,0
1700031F10Rik,0,0,0,0,0,0,0,0,0
1700034B16Rik,0,0,0,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0,0,0,0
1700034G24Rik,0,0,0,0,0,0,0,0,0
1700034H15Rik,31,27,40,29,22,23,18,34,38
1700034I23Rik,0,0,0,0,0,0,0,0,0
1700034J05Rik,0,0,0,0,0,0,0,0,0
1700034O15Rik,0,0,0,1,0,0,3,1,0
1700034P13Rik,2,5,5,5,0,2,4,7,5
1700036A12Rik,0,0,0,1,0,0,0,0,0
1700036O09Rik,0,0,0,0,0,0,0,0,0
1700037C06Rik,0,0,0,0,0,0,0,0,0
1700037C18Rik,39,54,51,87,76,71,61,95,75
1700037F24Rik,0,0,0,0,1,0,0,0,0
1700037H04Rik,441,575,606,817,627,687,556,608,468
1700039E15Rik,0,0,0,0,0,0,0,0,0
1700039E22Rik,0,0,0,0,0,0,0,0,0
1700039M10Rik,0,0,0,0,0,0,0,0,0
1700040D17Rik,1,3,2,6,0,4,3,2,4
1700040F15Rik,0,0,0,0,0,0,0,0,0
1700040L02Rik,19,17,28,38,32,32,40,41,32
1700041G16Rik,0,1,2,5,0,3,0,3,2
1700041M05Rik,0,0,0,0,0,0,0,0,0
1700042B14Rik,0,0,0,0,0,0,0,0,0
1700042G07Rik,0,0,1,3,0,1,0,0,0
1700042G15Rik,0,0,1,1,0,0,0,0,0
1700042O10Rik,1,0,0,2,0,0,0,0,1
1700045H11Rik,1,1,6,5,1,1,2,2,2
1700046C09Rik,0,0,0,0,0,0,0,0,0
1700047A11Rik,0,0,0,0,0,0,0,0,0
1700047F07Rik,0,0,0,0,0,0,0,0,0
1700047I17Rik2,0,0,0,0,0,0,0,0,0
1700047K16Rik,1,5,2,4,8,2,1,3,2
1700048O20Rik,0,1,0,0,2,1,0,0,1
1700049E15Rik,0,0,0,0,0,0,0,0,0
1700049E17Rik1,0,0,0,0,0,0,0,0,0
1700049E17Rik2,0,0,0,0,0,0,0,0,0
1700049G17Rik,128,126,134,142,74,133,66,121,170
1700049J03Rik,0,0,0,0,0,0,0,0,0
1700049L16Rik,0,0,0,0,0,0,0,0,0
1700051A21Rik,0,0,0,0,0,0,0,0,0
1700052N19Rik,434,469,507,571,464,472,418,524,529
1700054K02Rik,0,0,0,0,0,0,0,0,0
1700054M17Rik,0,0,0,0,0,0,0,0,0
1700054O13Rik,0,0,0,0,0,0,0,0,0
1700055C04Rik,0,0,0,0,0,0,0,0,0
1700055D18Rik,5,12,5,14,15,11,14,9,11
1700055N04Rik,4,1,1,3,1,1,3,3,1
1700056E22Rik,12,10,14,24,8,10,13,13,10
1700056N10Rik,1,1,6,3,2,4,4,3,5
1700057G04Rik,4,8,5,2,13,2,4,4,15
1700057H15Rik,0,0,0,0,0,0,0,0,0
1700057H21Rik,0,0,0,0,0,0,0,0,0
1700058P15Rik,55,53,68,78,49,69,22,70,72
1700060C16Rik,0,0,0,0,0,0,0,0,0
1700060C20Rik,0,0,0,0,0,0,0,0,0
1700060J05Rik,14,11,11,21,7,18,10,14,17
1700061E18Rik,0,0,2,1,0,0,0,1,0
1700061F12Rik,0,0,0,0,0,0,0,0,0
1700061G19Rik,2,1,4,8,1,8,4,2,2
1700061H18Rik,13,11,16,23,2,15,7,9,10
1700061I17Rik,0,3,0,2,2,1,0,1,0
1700061J23Rik,0,0,0,0,0,0,0,0,0
1700063H04Rik,0,0,0,0,0,0,0,0,0
1700063H06Rik,0,0,0,0,0,0,0,0,0
1700064H15Rik,0,0,0,1,4,2,1,1,0
1700065D16Rik,1,1,0,3,0,2,2,3,1
1700066B19Rik,261,317,309,392,306,325,208,335,328
1700066J03Rik,0,0,0,0,0,0,0,0,0
1700066M21Rik,190,217,208,135,106,153,87,200,202
1700066O22Rik,0,0,0,0,0,0,0,0,0
1700067K01Rik,8,5,5,10,2,8,3,6,4
1700067P10Rik,0,0,0,0,0,0,0,0,0
1700069B07Rik,0,1,0,1,0,0,0,0,1
1700069L16Rik,0,0,0,0,0,0,0,0,0
1700071G01Rik,0,0,0,0,0,0,0,0,0
1700071K01Rik,0,0,0,0,0,0,0,0,0
1700071M16Rik,1,0,1,2,0,0,1,0,0
1700073E17Rik,0,1,1,0,0,0,0,1,0
1700074P13Rik,0,0,0,0,0,0,0,0,0
1700080E11Rik,0,0,0,2,0,0,0,0,0
1700080G11Rik,0,0,0,0,0,0,0,0,0
1700080N15Rik,0,0,0,0,0,0,0,0,0
1700080O16Rik,0,0,0,0,0,0,0,0,0
1700082M22Rik,1,3,1,1,0,3,1,1,0
1700084C01Rik,1,0,0,1,1,0,0,0,0
1700084C06Rik,1,2,5,3,1,1,0,5,4
1700084E18Rik,0,0,0,0,0,0,0,0,0
1700084J12Rik,0,0,0,0,0,0,0,0,0
1700084M14Rik,0,0,0,0,0,0,0,0,0
1700086D15Rik,0,0,0,0,0,0,0,0,0
1700086L19Rik,9,5,5,8,2,6,3,3,4
1700086O06Rik,31,30,53,41,27,35,43,37,28
1700086P04Rik,3,4,3,8,2,0,3,6,2
1700087M22Rik,0,0,0,0,0,0,0,0,0
1700088E04Rik,13,12,18,21,27,15,17,23,18
1700091H14Rik,0,0,0,0,0,0,0,0,0
1700092C02Rik,0,0,0,0,0,0,0,0,0
1700092C10Rik,0,0,0,0,0,0,0,0,0
1700092C17Rik,0,0,0,0,0,0,0,0,0
1700092E19Rik,0,0,0,0,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0,0,0,0
1700092M07Rik,1,5,3,0,3,2,2,1,2
1700093J21Rik,0,0,1,0,1,2,0,0,0
1700093K21Rik,1,0,0,0,0,0,0,0,0
1700095A21Rik,0,0,0,0,0,0,0,0,0
1700095B10Rik,0,0,0,0,0,0,0,0,0
1700095J03Rik,0,0,0,0,0,0,0,0,0
1700095J07Rik,0,0,0,0,0,0,0,0,0
1700095J12Rik,0,0,0,0,0,0,0,0,0
1700099I09Rik,0,0,0,0,0,0,0,0,0
1700101E01Rik,4,1,6,2,2,5,5,3,3
1700101I11Rik,0,0,0,0,1,1,0,0,1
1700101I19Rik,0,0,0,0,0,0,0,0,0
1700102P08Rik,2,7,6,5,5,4,6,9,4
1700104B16Rik,0,0,0,0,0,0,0,0,0
1700106J16Rik,0,0,0,0,0,0,0,0,0
1700108N11Rik,1,1,0,0,1,2,1,0,2
1700109G15Rik,0,0,0,0,0,0,0,0,0
1700109H08Rik,5,7,6,9,2,6,3,8,6
1700109K24Rik,8,8,5,7,2,8,2,10,11
1700110I01Rik,0,0,0,0,0,0,0,0,0
1700110K17Rik,11,11,18,10,13,8,12,13,16
1700111E14Rik,0,0,0,0,0,0,0,0,0
1700112D23Rik,0,0,0,2,1,0,0,1,0
1700112E06Rik,4,1,6,3,6,1,5,5,10
1700112J05Rik,0,1,0,0,0,1,0,0,0
1700112J16Rik,5,5,7,8,2,8,2,5,8
1700112K13Rik,0,0,0,0,0,0,0,0,0
1700113A16Rik,13,10,19,19,24,12,18,16,11
1700113H08Rik,0,0,0,0,0,0,0,0,0
1700116B05Rik,0,0,0,1,0,0,0,0,0
1700119I11Rik,1,0,0,0,0,0,0,0,0
1700120B22Rik,0,0,0,0,0,0,0,1,0
1700120C18Rik,0,0,0,0,0,0,0,0,0
1700120E14Rik,0,0,0,0,0,0,0,0,0
1700120G11Rik,0,0,0,0,0,0,0,0,0
1700120O09Rik,0,0,0,0,0,0,0,0,0
1700121C08Rik,0,0,0,0,0,0,0,0,0
1700121N20Rik,0,0,0,0,0,0,0,0,0
1700122E12Rik,5,1,1,2,1,2,1,0,2
1700122O11Rik,0,0,0,1,0,0,0,1,0
1700123I01Rik,11,11,7,11,6,6,7,11,9
1700123K08Rik,0,0,0,0,0,0,0,0,0
1700123L14Rik,0,0,0,0,0,0,0,0,0
1700123M08Rik,13,17,16,25,16,23,9,14,12
1700123O12Rik,0,0,0,0,0,0,0,0,0
1700123O20Rik,570,675,648,556,686,529,507,636,670
1700125G02Rik,0,0,0,0,0,0,0,0,0
1700125G22Rik,1,1,0,1,0,0,0,0,1
1700125H03Rik,0,0,0,0,0,0,0,0,0
1700125H20Rik,0,0,0,2,0,2,1,1,0
1700128E19Rik,0,0,0,0,0,0,0,0,0
1700128F08Rik,0,0,0,0,0,0,0,0,0
1700129C05Rik,0,0,0,0,0,0,0,0,0
1810008B01Rik,0,0,0,0,0,0,0,0,0
1810009A15Rik,4,4,8,4,8,5,15,8,3
1810009J06Rik,0,0,0,0,0,0,0,0,0
1810010H24Rik,23,20,17,31,32,32,40,26,18
1810010K12Rik,0,0,0,0,0,0,0,0,0
1810011H11Rik,1,1,1,2,4,0,0,2,1
1810011O10Rik,1739,1830,1933,1576,2133,1694,1761,1879,2068
1810012K08Rik,16,15,21,16,8,21,20,21,12
1810013D15Rik,0,0,0,0,0,0,0,0,0
1810013L24Rik,1113,1227,1251,1347,821,1209,922,1275,1331
1810014B01Rik,23,25,24,29,13,20,27,21,33
1810019D21Rik,595,590,613,801,980,639,785,819,544
1810019N24Rik,0,0,0,0,2,0,0,1,2
1810020O05Rik,0,0,0,0,0,0,0,0,0
1810021B22Rik,26,31,25,22,45,23,38,24,30
1810022K09Rik,238,271,329,305,376,241,244,299,305
1810024B03Rik,18,24,28,35,56,19,49,29,27
1810026B05Rik,32,25,30,62,22,41,19,31,40
1810026J23Rik,664,746,836,631,646,577,680,791,775
1810030O07Rik,533,656,721,699,606,665,505,756,725
1810032O08Rik,180,217,176,189,80,188,77,242,168
1810034E14Rik,84,107,110,112,147,87,108,129,125
1810037I17Rik,699,867,829,828,1156,851,836,926,965
1810041L15Rik,13,15,16,19,23,12,14,22,35
1810043G02Rik,108,119,119,72,122,91,107,115,149
1810043H04Rik,177,234,243,182,146,278,165,314,233
1810046K07Rik,8,5,9,8,10,9,14,9,16
1810049J17Rik,0,0,0,0,0,0,0,0,0
1810055G02Rik,334,373,394,474,596,363,610,436,377
1810058I24Rik,478,574,591,605,832,567,649,608,545
1810059C17Rik,0,0,0,0,1,0,0,1,0
1810059H22Rik,8,13,11,10,16,9,14,10,8
1810062G17Rik,5,17,20,12,9,14,7,7,12
1810062O18Rik,4,2,6,13,6,13,4,4,7
1810063I02Rik,14,12,17,21,12,19,7,16,13
1810064F22Rik,3,5,6,4,7,8,6,6,9
1810065E05Rik,5700,5745,7236,2236,5065,4198,2665,5197,5350
2010001A14Rik,116,85,103,139,177,124,65,103,96
2010001E11Rik,0,1,1,2,1,1,4,1,0
2010001K21Rik,3,0,3,1,1,2,10,7,5
2010002M12Rik,64,61,73,41,68,42,35,40,54
2010003K11Rik,575,600,732,326,688,436,522,547,643
2010005H15Rik,3,3,6,1,2,8,2,6,4
2010007H06Rik,20,30,23,40,18,25,32,30,33
2010012O05Rik,145,197,192,202,169,161,158,197,174
2010013B24Rik,0,0,0,0,0,0,0,1,0
2010015M23Rik,2,3,2,4,1,6,4,4,3
2010016I18Rik,736,591,681,1467,536,910,612,733,638
2010106E10Rik,30,18,25,12,29,16,17,19,30
2010107E04Rik,1754,1930,2311,1925,1158,2051,714,2127,2279
2010107G12Rik,67,87,89,103,66,105,72,120,91
2010107G23Rik,254,295,378,283,334,322,277,426,312
2010109A12Rik,3,5,9,10,7,2,2,12,3
2010109I03Rik,497,525,541,311,600,466,390,400,625
2010110E17Rik,1,0,3,61,0,2,0,2,0
2010110K18Rik,5,7,4,5,8,2,6,6,7
2010111I01Rik,826,956,972,954,585,806,473,948,837
2010204K13Rik,23,32,35,48,42,34,39,43,43
2010300C02Rik,773,997,924,1042,1081,910,915,1098,976
2010300F17Rik,4,2,1,1,3,0,1,1,0
2010315B03Rik,722,753,830,802,401,755,344,803,820
2010320O07Rik,1,0,0,1,2,1,1,1,1
2200002D01Rik,4614,5150,6274,5111,6074,5919,4985,6649,5302
2200002J24Rik,4,0,4,2,3,3,2,0,2
2210008F06Rik,9,3,8,14,6,10,4,5,5
2210010C04Rik,0,0,0,0,0,0,0,0,0
2210011C24Rik,8,7,18,6,7,12,8,11,18
2210013O21Rik,136,111,153,139,95,112,61,115,135
2210015D19Rik,189,211,249,202,191,193,137,272,256
2210016F16Rik,841,954,1119,1151,1098,1116,996,1128,968
2210016L21Rik,442,546,572,545,725,531,509,629,521
2210017G18Rik,0,0,0,0,0,0,0,0,0
2210018M11Rik,298,313,335,370,426,313,450,342,335
2210019I11Rik,20,27,31,30,36,26,23,43,35
2210404O09Rik,135,125,160,166,119,155,130,145,192
2210406O10Rik,2,5,5,6,7,4,4,11,6
2210407C18Rik,89,93,102,126,96,108,49,91,76
2210408F21Rik,1,0,0,9,3,6,0,1,2
2210408I21Rik,35,42,29,39,29,33,21,40,43
2210409E12Rik,0,0,0,0,0,0,0,0,0
2210411M09Rik,4,3,8,6,2,3,2,3,5
2210414B05Rik,0,0,0,0,0,0,0,0,0
2210417A02Rik,13,20,24,55,20,30,34,24,18
2210418O10Rik,0,0,0,0,0,0,0,0,0
2300002M23Rik,0,0,0,3,0,1,0,0,0
2300003K06Rik,0,0,0,0,0,0,0,0,0
2300005B03Rik,0,0,0,0,0,0,0,0,0
2300009A05Rik,98,101,125,102,98,94,102,108,104
2310001H17Rik,64,63,75,76,47,73,32,69,74
2310001K24Rik,0,3,4,0,0,1,0,1,1
2310002F09Rik,0,1,0,1,0,1,1,1,0
2310002J15Rik,14,11,15,55,15,13,6,20,22
2310002L09Rik,0,0,0,0,0,0,0,0,0
